category,message_pattern,description,severity,notes,example
syntax,expected ';' before '}' token,"A semicolon is missing before the closing brace, causing a syntax error.",error,Always end statements with a semicolon.,"{'code': 'int main() { return 0 }', 'error_output': ""error: expected ';' before '}' token""}"
syntax,expected primary-expression before '%s' token,The compiler expected an expression but encountered an unexpected token.,error,Check for missing expressions or incorrect operator usage.,"{'code': 'int main() { if (x) else y; }', 'error_output': ""error: expected primary-expression before 'else' token""}"
syntax,missing terminating %s character,A character or string literal is missing its closing quote.,error,Always close string and character literals with matching quotes.,"{'code': 'int main() { char* s = ""hello; return 0; }', 'error_output': 'error: missing terminating "" character'}"
syntax,stray '%s' in program,An invalid character was found in the source code.,error,Remove invalid characters or check for encoding issues.,"{'code': 'int main() { int x@ = 5; return 0; }', 'error_output': ""error: stray '@' in program""}"
semantic,'%s' was not declared in this scope,Identifier used without declaration or outside its scope.,error,Declare the function or variable before using it.,"{'code': 'int main() { foo(); }', 'error_output': ""error: 'foo' was not declared in this scope""}"
semantic,"return-statement with no value, in function returning '%s'",A return statement without a value in a function that expects a return value.,error,Add a return value or change the function return type to void.,"{'code': 'int foo() { return; }', 'error_output': ""error: return-statement with no value, in function returning 'int'""}"
semantic,void value not ignored as it ought to be,Trying to use the result of a void function as a value.,error,Don't assign void functions to variables or use them in expressions.,"{'code': 'void foo() {} int main() { int x = foo(); }', 'error_output': 'error: void value not ignored as it ought to be'}"
semantic,invalid conversion from '%s' to '%s',Attempting to convert between incompatible types.,error,Use explicit casts or ensure type compatibility.,"{'code': 'int main() { int* p = 10; }', 'error_output': ""error: invalid conversion from 'int' to 'int*'""}"
type,cannot convert '%s' to '%s' in initialization,Type mismatch during variable initialization.,error,Ensure the initializer type matches the variable type.,"{'code': 'int main() { double d = ""hello""; }', 'error_output': ""error: cannot convert 'const char*' to 'double' in initialization""}"
type,invalid operands of types '%s' and '%s' to binary '%s',Using incompatible types with a binary operator.,error,Overload the operator or use compatible types.,"{'code': 'struct S{}; int main() { S s1, s2; return s1 + s2; }', 'error_output': ""error: invalid operands of types 'S' and 'S' to binary 'operator+'""}"
type,"request for member '%s' in '%s', which is of non-class type '%s'",Trying to access a member of a non-class type.,error,Only class/struct types have members.,"{'code': 'int main() { int x; return x.size(); }', 'error_output': ""error: request for member 'size' in 'x', which is of non-class type 'int'""}"
linker,undefined reference to '%s',The linker cannot find the definition of a declared function or variable.,error,Provide the definition or link the required library.,"{'code': '// main.cpp\nvoid foo();\nint main() { foo(); return 0; }', 'error_output': ""error: undefined reference to 'foo'""}"
linker,multiple definition of '%s',The same symbol is defined in multiple translation units.,error,Use 'inline' for functions or 'extern' for variables with one definition.,"{'code': '// file1.cpp\nint global = 5;\n// file2.cpp\nint global = 10;', 'error_output': ""error: multiple definition of 'global'""}"
template,no matching function for call to '%s',No viable template function overload matches the arguments.,error,Provide the correct arguments or add missing template parameters.,"{'code': 'template<typename T> void foo(T t) {}\nint main() { foo(); }', 'error_output': ""error: no matching function for call to 'foo()'""}"
